State,Party
Alabama,Republican
Alaska,Republican
Arizona,Democratic
Arkansas,Republican
California,Democratic
Colorado,Democratic
Connecticut,Democratic
Delaware,Democratic
Florida,Republican
Georgia,Republican
Hawaii ,Democratic
Idaho,Republican
Illinois ,Democratic
Indiana,Republican
Iowa,Republican
Kansas,Democratic
Kentucky,Democratic
Louisiana ,Democratic
Maine,Democratic
Maryland,Democratic
Massachusetts ,Democratic
Michigan ,Democratic
Minnesota,Democratic
Mississippi,Republican
Missouri ,Republican
Montana ,Republican
Nebraska,Republican
Nevada,Republican
New Hampshire,Republican
New Jersey,Democratic
New Mexico,Democratic
New York,Democratic
North Carolina,Democratic
North Dakota ,Republican
Ohio,Republican
Oklahoma,Republican
Oregon,Democratic
Pennsylvania,Democratic
Rhode Island,Democratic
South Carolina ,Republican
South Dakota,Republican
Tennessee,Republican
Texas,Republican
Utah,Republican
Vermont,Republican
Virginia,Republican
Washington ,Democratic
West Virginia,Republican
Wisconsin,Democratic
Wyoming,Republican